hogar_id,survey_wave,income_q,income,d_dispersion,d_wealth_ratio,adj_ratio,pesoEFHU
,1.0,5.0,15678.552,12.487488878546145,0.74647886,,102.0
,1.0,5.0,15678.552,12.487488878546145,0.74647886,,102.0
,1.0,5.0,15678.552,12.487488878546145,0.74647886,,102.0
,1.0,5.0,15678.552,12.487488878546145,0.74647886,,102.0
,1.0,5.0,21000.0,12.618185607609803,0.88304096,,80.0
,1.0,5.0,21000.0,12.618185607609803,0.88304096,,80.0
,1.0,5.0,21000.0,12.25486757159303,0.83999997,,1.0
,1.0,5.0,21000.0,12.25486757159303,0.83999997,,1.0
,1.0,5.0,21000.0,12.25486757159303,0.83999997,,1.0
,1.0,5.0,21000.0,12.25486757159303,0.83999997,,1.0
,1.0,5.0,12966.274,9.210440366976517,0.11363637,,242.0
,1.0,5.0,12966.274,9.210440366976517,0.11363637,,242.0
,1.0,5.0,12966.274,9.210440366976517,0.11363637,,242.0
,1.0,5.0,12966.274,9.210440366976517,0.11363637,,242.0
,1.0,5.0,21000.0,12.611541086966115,0.72289157,,80.0
,1.0,5.0,21000.0,12.611541086966115,0.72289157,,80.0
,1.0,5.0,21000.0,12.618185607609803,0.79473686,,1.0
,1.0,5.0,21000.0,12.618185607609803,0.79473686,,1.0
,1.0,5.0,21000.0,12.618185607609803,0.79473686,,1.0
,1.0,4.0,8051.1509,11.302216779257382,0.94186044,,45.0
,1.0,4.0,8051.1509,11.302216779257382,0.94186044,,45.0
,1.0,5.0,17234.902,9.741027444837728,0.12878788,,73.0
,1.0,5.0,17234.902,9.741027444837728,0.12878788,,73.0
,1.0,5.0,17234.902,9.741027444837728,0.12878788,,73.0
,1.0,5.0,17234.902,9.741027444837728,0.12878788,,73.0
,1.0,5.0,17234.902,9.741027444837728,0.12878788,,73.0
,1.0,5.0,17621.676,12.211065162153215,0.69072163,,46.0
,1.0,5.0,17621.676,12.211065162153215,0.69072163,,46.0
,1.0,5.0,21000.0,12.618185607609803,0.88304096,,98.0
,1.0,5.0,21000.0,12.618185607609803,0.88304096,,98.0
,1.0,5.0,21000.0,12.618185607609803,0.88304096,,98.0
,1.0,5.0,21000.0,12.618185607609803,0.88304096,,98.0
,1.0,4.0,7199.9009,12.618185607609803,0.79473686,,85.0
,1.0,4.0,7199.9009,12.618185607609803,0.79473686,,85.0
,1.0,5.0,21000.0,12.611541086966115,0.95238096,,102.0
,1.0,5.0,21000.0,12.611541086966115,0.95238096,,102.0
,1.0,5.0,21000.0,12.611541086966115,0.95238096,,102.0
,1.0,5.0,21000.0,12.611541086966115,0.95238096,,102.0
,1.0,3.0,3020.0386,0.0,0.0,,60.0
,1.0,3.0,3020.0386,0.0,0.0,,60.0
,1.0,5.0,21000.0,12.618185607609803,0.72422063,,1.0
,1.0,5.0,21000.0,12.618185607609803,0.72422063,,1.0
,1.0,4.0,8936.2256,9.210440366976517,0.15873016,,21.0
,1.0,5.0,14224.95,12.292254928916668,0.75043029,,56.0
,1.0,5.0,21000.0,12.618185607609803,0.79473686,,1.0
,1.0,5.0,21000.0,12.618185607609803,0.79473686,,1.0
,1.0,5.0,21000.0,12.618185607609803,0.79473686,,1.0
,1.0,5.0,16389.9,12.175618592671356,0.72795498,,74.0
,1.0,5.0,16389.9,12.175618592671356,0.72795498,,74.0
,1.0,5.0,10189.95,11.931642378754141,0.83287674,,29.0
,1.0,5.0,16875.0,10.308985993422082,0.20689656,,64.0
