hogar_id,survey_wave,income_q,d_income_ratio,d_wealth_ratio,adj_ratio,pesoEFHU
,1.0,1.0,,,,416.0
,1.0,1.0,,,,396.0
,1.0,1.0,,,,396.0
,1.0,1.0,,,,300.0
,1.0,1.0,,,,300.0
,1.0,1.0,,,,300.0
,1.0,1.0,,,,300.0
,1.0,1.0,,,,300.0
,1.0,1.0,,,,329.0
,1.0,1.0,,,,329.0
,1.0,1.0,,,,329.0
,1.0,1.0,,,,329.0
,1.0,1.0,,,,329.0
,1.0,1.0,,,,461.0
,1.0,1.0,,,,461.0
,1.0,1.0,,,,461.0
,1.0,1.0,,,,467.0
,1.0,1.0,,,,187.0
,1.0,1.0,,,,187.0
,1.0,1.0,,,,187.0
,1.0,1.0,,,,187.0
,1.0,1.0,,,,319.0
,1.0,1.0,,,,319.0
,1.0,1.0,,,,319.0
,1.0,1.0,,,,319.0
,1.0,1.0,,,,354.0
,1.0,1.0,,,,354.0
,1.0,1.0,,,,354.0
,1.0,1.0,,,,354.0
,1.0,1.0,,,,363.0
,1.0,1.0,,,,372.0
,1.0,1.0,,,,411.0
,1.0,1.0,,,,411.0
,1.0,1.0,,,,411.0
,1.0,1.0,,,,277.0
,1.0,1.0,,,,277.0
,1.0,1.0,,,,277.0
,1.0,1.0,,,,377.0
,1.0,1.0,,,,377.0
,1.0,1.0,,,,377.0
,1.0,1.0,,,,377.0
,1.0,1.0,,,,395.0
,1.0,1.0,,,,395.0
,1.0,1.0,,,,395.0
,1.0,1.0,,,,428.0
,1.0,1.0,,,,415.0
,1.0,1.0,,,,223.0
,1.0,1.0,,,,173.0
,1.0,1.0,,,,173.0
,1.0,1.0,,,,173.0
,1.0,1.0,,,,205.0
,1.0,1.0,,,,205.0
,1.0,1.0,,,,205.0
,1.0,1.0,,,,306.0
,1.0,1.0,,,,306.0
,1.0,1.0,,,,1.0
,1.0,1.0,,,,1.0
,1.0,1.0,,,,1.0
,1.0,1.0,,,,306.0
,1.0,1.0,,,,306.0
,1.0,1.0,,,,306.0
,1.0,1.0,,,,306.0
,1.0,1.0,,,,366.0
,1.0,1.0,,,,264.0
,1.0,1.0,,,,233.0
,1.0,1.0,,,,233.0
,1.0,1.0,,,,187.0
,1.0,1.0,,,,199.0
,1.0,1.0,,,,199.0
,1.0,1.0,,,,199.0
,1.0,1.0,,,,203.0
,1.0,1.0,,,,254.0
,1.0,1.0,,,,227.0
,1.0,1.0,,,,227.0
,1.0,1.0,,,,197.0
,1.0,1.0,,,,197.0
,1.0,1.0,,,,197.0
