survey_wave,total_savings_final,durables_final,hogar_id,pesoEFHU,household_income_q,income_q,d_income_ratio,d_wealth_ratio,adj_ratio
1,,0,,264,0,1,,,
1,,45500,,233,0,1,,,
1,,45500,,233,0,1,,,
1,,65000,,187,0,1,,,
1,,154000,,199,0,1,,,
1,,154000,,199,0,1,,,
1,,154000,,199,0,1,,,
1,,0,,203,0,1,,,
1,,10000,,254,0,1,,,
1,,0,,227,0,1,,,
1,,0,,227,0,1,,,
1,,20000,,197,0,1,,,
1,,20000,,197,0,1,,,
1,,20000,,197,0,1,,,
1,,15600,,322,0,1,,,
1,,15600,,322,0,1,,,
1,,15600,,322,0,1,,,
1,,1000,,298,0,1,,,
1,,1000,,298,0,1,,,
1,,1000,,298,0,1,,,
1,,1000,,298,0,1,,,
1,,1000,,298,0,1,,,
1,,30000,,330,0,1,,,
1,,30000,,330,0,1,,,
1,,30000,,330,0,1,,,
1,,0,,303,0,1,,,
1,,0,,303,0,1,,,
1,,0,,303,0,1,,,
1,,0,,303,0,1,,,
1,,0,,232,0,1,,,
1,,0,,238,0,1,,,
1,,0,,238,0,1,,,
1,,0,,238,0,1,,,
1,,11800,,176,0,1,,,
1,,11800,,176,0,1,,,
1,,0,,231,0,1,,,
1,,0,,231,0,1,,,
1,,0,,234,0,1,,,
1,,0,,234,0,1,,,
1,,0,,346,0,1,,,
1,,110000,,373,0,1,,,
1,,110000,,373,0,1,,,
1,,110000,,373,0,1,,,
1,,4300,,425,0,1,,,
1,,0,,385,0,1,,,
1,,0,,385,0,1,,,
1,,0,,385,0,1,,,
1,,3000,,348,0,1,,,
1,,3000,,348,0,1,,,
1,,3000,,348,0,1,,,
1,,6700,,376,0,1,,,
1,,6700,,376,0,1,,,
1,,6700,,376,0,1,,,
1,,6700,,376,0,1,,,
1,,0,,418,0,1,,,
1,,0,,418,0,1,,,
1,,0,,418,0,1,,,
1,,0,,480,0,1,,,
1,,0,,377,0,1,,,
1,,27500,,372,0,1,,,
1,,27500,,372,0,1,,,
1,,27500,,372,0,1,,,
1,,0,,295,0,1,,,
1,,0,,295,0,1,,,
1,,0,,410,0,1,,,
1,,0,,410,0,1,,,
1,,0,,314,0,1,,,
1,,0,,314,0,1,,,
1,,0,,314,0,1,,,
1,,0,,425,0,1,,,
1,,0,,425,0,1,,,
1,,0,,360,0,1,,,
1,,0,,360,0,1,,,
1,,0,,208,0,1,,,
1,,0,,208,0,1,,,
1,,0,,208,0,1,,,
1,,0,,208,0,1,,,
1,,0,,208,0,1,,,
1,,0,,209,0,1,,,
1,,0,,209,0,1,,,
1,,8500,,208,0,1,,,
1,,8500,,208,0,1,,,
1,,8500,,208,0,1,,,
1,,100000,,139,0,1,,,
1,,100000,,139,0,1,,,
1,,8500,,173,0,1,,,
1,,8500,,173,0,1,,,
1,,8500,,173,0,1,,,
1,,70000,,210,0,1,,,
1,,0,,313,0,1,,,
1,,0,,298,0,1,,,
1,,0,,180,0,1,,,
1,,0,,180,0,1,,,
1,,0,,180,0,1,,,
1,,80000,,210,0,1,,,
1,,500,,156,0,1,,,
1,,500,,156,0,1,,,
1,,,,268,0,1,,,
1,,,,268,0,1,,,
1,,,,268,0,1,,,
1,,1000,,253,0,1,,,
1,,100000,,223,0,1,,,
1,,78000,,254,0,1,,,
1,,0,,203,0,1,,,
1,,0,,211,0,1,,,
1,,0,,211,0,1,,,
1,,0,,211,0,1,,,
1,,0,,211,0,1,,,
1,,0,,211,0,1,,,
1,,9000,,263,0,1,,,
1,,9000,,263,0,1,,,
1,,9000,,263,0,1,,,
1,,61000,,223,0,1,,,
1,,0,,173,0,1,,,
1,,0,,173,0,1,,,
1,,0,,173,0,1,,,
1,,0,,249,0,1,,,
1,,28000,,519,0,1,,,
1,,28000,,519,0,1,,,
1,,70750,,253,0,1,,,
1,,70750,,253,0,1,,,
1,,70750,,253,0,1,,,
1,,70750,,253,0,1,,,
1,,70750,,253,0,1,,,
1,,70000,,449,0,1,,,
1,,70000,,449,0,1,,,
1,,70000,,449,0,1,,,
1,,98000,,480,0,1,,,
1,,98000,,480,0,1,,,
1,,43000,,352,0,1,,,
1,,43000,,352,0,1,,,
1,,8000,,287,0,1,,,
1,,20000,,412,0,1,,,
1,,0,,305,0,1,,,
1,,0,,305,0,1,,,
1,,0,,305,0,1,,,
1,,0,,305,0,1,,,
1,,0,,458,0,1,,,
1,,45000,,438,0,1,,,
1,,45000,,438,0,1,,,
1,,45000,,438,0,1,,,
1,,35000,,312,0,1,,,
1,,5400,,380,0,1,,,
1,,5400,,380,0,1,,,
1,,50000,,327,0,1,,,
1,,0,,429,0,1,,,
